date,ttf,nbp,fx,national_grid_commodity_entry,bacton_entry,iuk_be_uk,iuk_commodity_be_uk,gts_exit,fluxys_nl_zee_ocuc,fluxys_commodity,iuk_booked_capacity,iuk_technical_capacity,bacton_booked_entry
13/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
14/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
15/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
16/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
17/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
18/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
19/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
20/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
21/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
22/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
23/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
24/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
25/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
26/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
27/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
28/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
29/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
30/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
01/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
02/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
03/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
04/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
05/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
06/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
07/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
08/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
09/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
10/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
11/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
12/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
13/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
14/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
